"sourceProject","isDifferentTargetProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","Source Cypher File: Path_Finding/Path_Finding_6_Longest_paths_distribution_per_project.cypher"
"axon-modelling-4.10.0",false,1,13,4,13,1,1,1,"/org/axonframework/modelling/command/legacyjpa ->/org/axonframework/modelling/command/inspection",""
"axon-modelling-4.10.0",true,1,13,4,13,1,1,1,"/org/axonframework/modelling/command/legacyjpa ->/org/axonframework/common/lock",""
"axon-server-connector-4.10.0",false,1,13,4,13,1,1,1,"/org/axonframework/axonserver/connector/heartbeat/source ->/org/axonframework/axonserver/connector/heartbeat",""
"axon-server-connector-4.10.0",false,2,39,3,39,1,1,1,"/org/axonframework/axonserver/connector/heartbeat/source ->/org/axonframework/axonserver/connector/util",""
"axon-spring-boot-autoconfigure-4.10.0",false,1,13,4,13,2,1,2,"/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/springboot/util/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/springboot/autoconfig",""
"axon-spring-boot-autoconfigure-4.10.0",false,2,39,3,39,4,1,4,"/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/actuator/axonserver,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/springboot/util,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/springboot/util/jpa,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/springboot/service/connection",""
"axon-spring-boot-autoconfigure-4.10.0",false,3,18,2,18,2,1,2,"/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/actuator,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/springboot",""
"axon-spring-boot-autoconfigure-4.10.0",true,1,13,4,13,4,1,4,"/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/modelling/saga/repository/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/eventsourcing/eventstore/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/eventhandling/deadletter/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/eventhandling/tokenstore/legacyjpa",""
"axon-spring-boot-autoconfigure-4.10.0",true,2,39,3,39,33,1,33,"/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/axonserver/connector/query,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/axonserver/connector/command,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/axonserver/connector/event/axon,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/modelling/command",""
"axon-spring-boot-autoconfigure-4.10.0",true,3,18,2,18,13,1,13,"/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/axonserver/connector,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/modelling/saga,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/modelling/saga/repository,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/modelling/saga/repository/jpa",""
"axon-spring-boot-autoconfigure-4.10.0",true,4,11,2,11,8,1,8,"/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/common/digest,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/common/transaction,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/deadline,/org/axonframework/springboot/autoconfig/legacyjpa ->/org/axonframework/lifecycle",""
"axon-test-4.10.0",false,1,13,4,13,3,1,3,"/org/axonframework/test/saga ->/org/axonframework/test/utils,/org/axonframework/test/saga ->/org/axonframework/test/deadline,/org/axonframework/test/saga ->/org/axonframework/test/eventscheduler",""
"axon-test-4.10.0",false,2,39,3,39,1,1,1,"/org/axonframework/test/saga ->/org/axonframework/test/matchers",""
"axon-test-4.10.0",false,3,18,2,18,1,1,1,"/org/axonframework/test/saga ->/org/axonframework/test",""
"axon-test-4.10.0",true,1,13,4,13,1,1,1,"/org/axonframework/test/saga ->/org/axonframework/modelling/saga/repository/inmemory",""
"axon-test-4.10.0",true,3,18,2,18,2,1,2,"/org/axonframework/test/saga ->/org/axonframework/commandhandling,/org/axonframework/test/saga ->/org/axonframework/eventhandling",""
"axon-test-4.10.0",true,4,11,2,11,3,1,3,"/org/axonframework/test/saga ->/org/axonframework/common,/org/axonframework/test/saga ->/org/axonframework/messaging,/org/axonframework/test/saga ->/org/axonframework/messaging/annotation",""
