"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"javax.annotation",76,342,374,1731,114,1444,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",66,144,257,720,114,1444,"Logger,LoggerFactory",""
"javax.persistence",15,27,82,311,114,1444,"TypedQuery,EntityManager,Basic,MappedSuperclass,Lob,Column,Id,GeneratedValue,Index",""
"com.fasterxml.jackson.annotation",13,23,57,87,114,1444,"JsonTypeInfo,JsonTypeInfo$Id,JsonGetter,JsonProperty,JsonCreator,JsonIgnore,JsonTypeInfo$As",""
"jakarta.persistence",10,25,73,299,114,1444,"EntityManager,TypedQuery,MappedSuperclass,Basic,Lob,Column,GeneratedValue,Id,Query",""
"io.axoniq.axonserver.grpc",7,30,55,273,114,1444,"ErrorMessage,InstructionAck$Builder,InstructionAck,ErrorMessage$Builder,FlowControl$Builder,FlowControl,MetaDataValue,ProcessingKey,ProcessingInstruction",""
"io.axoniq.axonserver.connector",6,21,30,126,114,1444,"AxonServerConnectionFactory$Builder,AxonServerConnectionFactory,AxonServerConnection,ReplyChannel,FlowControl,ResultStreamPublisher,ResultStream,Registration",""
"org.hamcrest",5,27,59,370,114,1444,"Matcher,CoreMatchers,StringDescription,Description,BaseMatcher,TypeSafeMatcher,Matchers",""
"io.grpc",4,12,50,94,114,1444,"ManagedChannelBuilder,Channel,Status$Code,StatusRuntimeException,Status,Metadata,Metadata$Key,ClientCall,ForwardingClientCall$SimpleForwardingClientCall",""
"reactor.core.publisher",4,27,49,198,114,1444,"Mono,Flux,MonoSink,FluxSink,ConnectableFlux,FluxSink$OverflowStrategy,EmitterProcessor,Sinks$ManySpec,Sinks",""
"com.github.kagkarlsson.scheduler",3,5,8,49,114,1444,"Scheduler,ScheduledExecution,SchedulerState",""
"com.github.kagkarlsson.scheduler.task",3,5,11,44,114,1444,"TaskInstanceId,TaskWithDataDescriptor,ExecutionContext,TaskInstance,Task",""
"io.grpc.stub",3,6,7,27,114,1444,"StreamObserver,ClientResponseObserver,ClientCallStreamObserver",""
"org.jobrunr.scheduling",3,5,7,34,114,1444,"JobScheduler,JobBuilder",""
"org.springframework.boot.actuate.health",3,4,7,24,114,1444,"Status,Health$Builder,AbstractHealthIndicator,SimpleStatusAggregator",""
"org.springframework.boot.autoconfigure",3,24,54,55,114,1444,"AutoConfigurationPackages,AutoConfiguration,AutoConfigureAfter,AutoConfigureBefore",""
"org.springframework.boot.autoconfigure.condition",3,32,65,152,114,1444,"ConditionOutcome,SpringBootCondition,ConditionalOnMissingBean,ConditionalOnBean,ConditionalOnClass,ConditionalOnProperty,AnyNestedCondition,ConditionalOnExpression,ConditionalOnMissingClass",""
"org.springframework.context.annotation",3,30,41,135,114,1444,"Conditional,ConditionContext,ConfigurationCondition,ConfigurationCondition$ConfigurationPhase,Import,ImportBeanDefinitionRegistrar,Primary,Bean,Configuration",""
"com.fasterxml.jackson.databind",2,9,17,75,114,1444,"JsonNode,ObjectMapper$DefaultTyping,DeserializationFeature,ObjectMapper,ObjectReader,ObjectWriter,DeserializationContext,JsonDeserializer",""
"com.thoughtworks.xstream.io",2,4,9,39,114,1444,"HierarchicalStreamWriter,HierarchicalStreamReader,HierarchicalStreamDriver",""
"io.axoniq.axonserver.connector.event",2,15,22,92,114,1444,"PersistentStreamProperties,EventChannel,AggregateEventStream,PersistentStreamSegment,AppendEventsTransaction,EventQueryResultEntry,PersistentStreamCallbacks,PersistentStream,EventStream",""
"io.axoniq.axonserver.connector.query",2,3,5,36,114,1444,"QueryChannel,QueryDefinition,QueryHandler,QueryHandler$UpdateHandler,SubscriptionQueryResult",""
"io.axoniq.axonserver.grpc.control",2,4,10,66,114,1444,"NodeInfo$Builder,NodeInfo,EventProcessorInfo$SegmentStatus,EventProcessorInfo$Builder,EventProcessorInfo,EventProcessorInfo$SegmentStatus$Builder",""
"io.axoniq.axonserver.grpc.event",2,6,12,69,114,1444,"Event,EventWithToken,Event$Builder,EventWithToken$Builder,Confirmation",""
"io.axoniq.axonserver.grpc.query",2,18,46,237,114,1444,"QueryResponse$Builder,QueryResponse,QueryRequest,QueryProviderOutbound,QueryProviderInbound,QueryUpdate,SubscriptionQuery,QueryUpdate$Builder,QueryRequest$Builder",""
"org.quartz",2,9,35,185,114,1444,"JobDataMap,Scheduler,JobKey,SchedulerContext,Job,JobExecutionContext,JobExecutionException,Trigger,JobDetail",""
"org.springframework.beans.factory.annotation",2,10,11,28,114,1444,"Qualifier,Autowired",""
"org.springframework.beans.factory.config",2,3,4,7,114,1444,"ConfigurableListableBeanFactory,RuntimeBeanReference",""
"org.springframework.beans.factory.support",2,2,4,21,114,1444,"BeanDefinitionRegistry,BeanDefinitionRegistryPostProcessor,BeanDefinitionBuilder",""
"org.springframework.context",2,5,6,24,114,1444,"ApplicationContext,ApplicationContextAware",""
"reactor.core.scheduler",2,2,3,4,114,1444,"Schedulers,Scheduler",""
"com.fasterxml.jackson.core",1,3,4,7,114,1444,"JsonProcessingException,JsonParser,JacksonException",""
"com.fasterxml.jackson.databind.node",1,2,3,12,114,1444,"ObjectNode,JsonNodeType",""
"com.google.gson",1,1,4,7,114,1444,"JsonParser,JsonArray,JsonElement,JsonObject",""
"com.lmax.disruptor",1,7,9,25,114,1444,"RingBuffer,EventHandler,ExceptionHandler,LifecycleAware,BlockingWaitStrategy,WaitStrategy",""
"com.lmax.disruptor.dsl",1,4,5,21,114,1444,"Disruptor,EventHandlerGroup,ProducerType",""
"com.thoughtworks.xstream.converters",1,3,6,6,114,1444,"UnmarshallingContext,MarshallingContext",""
"com.thoughtworks.xstream.io.xml",1,2,4,13,114,1444,"XppDriver,CompactWriter,XomReader,Dom4JReader",""
"com.thoughtworks.xstream.mapper",1,4,5,6,114,1444,"Mapper,CannotResolveClassException",""
"io.axoniq.axonserver.grpc.command",1,4,9,52,114,1444,"Command,CommandResponse,CommandResponse$Builder,Command$Builder",""
"io.opentelemetry.api.trace",1,3,9,47,114,1444,"Span,StatusCode,SpanContext,SpanBuilder,SpanKind,Tracer",""
"io.opentelemetry.context.propagation",1,4,9,18,114,1444,"TextMapGetter,TextMapSetter,TextMapPropagator,ContextPropagators",""
"jakarta.validation",1,2,5,15,114,1444,"Validation,ValidatorFactory,ConstraintViolation,Validator",""
"javax.cache.configuration",1,2,3,9,114,1444,"CacheEntryListenerConfiguration,Factory",""
"javax.cache.event",1,1,8,26,114,1444,"CacheEntryEvent,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryListener,CacheEntryUpdatedListener,CacheEntryEventFilter,CacheEntryCreatedListener,CacheEntryListenerException",""
"javax.validation",1,2,5,15,114,1444,"ConstraintViolation,Validator,ValidatorFactory,Validation",""
"net.sf.ehcache",1,2,5,47,114,1444,"Ehcache,Element,CacheException",""
"net.sf.ehcache.event",1,2,3,7,114,1444,"CacheEventListener,RegisteredEventListeners",""
"nu.xom",1,3,5,15,114,1444,"ParsingException,Builder,Document",""
"org.axonframework.metrics",1,1,2,8,114,1444,"GlobalMetricRegistry,MetricsConfigurerModule",""
"org.axonframework.micrometer",1,1,2,10,114,1444,"GlobalMetricRegistry,MetricsConfigurerModule",""
"org.axonframework.spring.config",1,1,5,17,114,1444,"SpringConfigurer,SpringAxonConfiguration,SpringAggregateLookup,MessageHandlerLookup,SpringSagaLookup",""
"org.axonframework.spring.config.annotation",1,1,2,7,114,1444,"HandlerDefinitionFactoryBean,SpringParameterResolverFactoryBean",""
"org.axonframework.spring.eventsourcing",1,1,2,10,114,1444,"SpringAggregateSnapshotter$Builder,SpringAggregateSnapshotter",""
"org.ehcache.event",1,3,8,30,114,1444,"CacheEventListener,EventType,CacheEvent,EventFiring,EventOrdering",""
"org.junit.jupiter.api.extension",1,1,3,4,114,1444,"AfterEachCallback,BeforeEachCallback,ExtensionContext",""
"org.springframework.beans.factory",1,2,4,14,114,1444,"NoSuchBeanDefinitionException,BeanClassLoaderAware,BeanFactoryUtils,InitializingBean",""
"org.springframework.boot.context.properties.bind",1,1,3,4,114,1444,"BindResult,Bindable,Binder",""
"org.springframework.boot.docker.compose.core",1,1,2,5,114,1444,"RunningService,ConnectionPorts",""
"org.springframework.boot.docker.compose.service.connection",1,1,2,5,114,1444,"DockerComposeConnectionSource,DockerComposeConnectionDetailsFactory",""
"org.springframework.boot.testcontainers.service.connection",1,2,4,9,114,1444,"ContainerConnectionDetailsFactory$ContainerConnectionDetails,ContainerConnectionSource,ContainerConnectionDetailsFactory",""
"org.testcontainers.containers",1,3,4,15,114,1444,"GenericContainer,ContainerLaunchException",""
"org.testcontainers.containers.wait.strategy",1,3,4,5,114,1444,"Wait,HttpWaitStrategy",""
"org.testcontainers.utility",1,3,5,22,114,1444,"DockerImageName,MountableFile",""
