"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_package_usage_per_artifact_and_package.cypher"
"axon-test-4.7.5","org.axonframework.test.matchers","org.hamcrest",38,188,24,"Matcher,Description,TypeSafeMatcher,BaseMatcher","matchers",""
"axon-messaging-4.7.5","org.axonframework.queryhandling","reactor.core.publisher",26,115,40,"Flux,Mono,FluxSink$OverflowStrategy,MonoSink,Signal,Sinks$EmitResult,Sinks$Many,FluxSink,Sinks,ConnectableFlux,Sinks$MulticastReplaySpec,EmitterProcessor,Sinks$ManySpec","queryhandling",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling.quartz","org.quartz",19,95,6,"JobDataMap,JobKey,SchedulerException,JobDetail,TriggerBuilder,Trigger,JobBuilder,SchedulerContext,Scheduler,Job,JobExecutionException,JobExecutionContext","quartz",""
"axon-messaging-4.7.5","org.axonframework.deadline.quartz","org.quartz",18,131,4,"Job,Scheduler,JobDataMap,SchedulerContext,JobDetail,JobExecutionContext,JobExecutionException,Trigger,JobBuilder,SchedulerException,TriggerBuilder,JobKey","quartz",""
"axon-messaging-4.7.5","org.axonframework.eventhandling","org.slf4j",15,55,93,"Logger,LoggerFactory","eventhandling",""
"axon-messaging-4.7.5","org.axonframework.serialization.json","com.fasterxml.jackson.databind",15,73,7,"JsonNode,ObjectWriter,ObjectMapper,ObjectReader,DeserializationContext,JsonDeserializer,DeserializationFeature,ObjectMapper$DefaultTyping","json",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.pooled","org.slf4j",13,59,20,"Logger,LoggerFactory","pooled",""
"axon-disruptor-4.7.5","org.axonframework.disruptor.commandhandling","org.slf4j",12,22,22,"Logger,LoggerFactory","commandhandling",""
"axon-configuration-4.7.5","org.axonframework.config","org.slf4j",9,28,39,"LoggerFactory,Logger","config",""
"axon-disruptor-4.7.5","org.axonframework.disruptor.commandhandling","com.lmax.disruptor",9,29,22,"ExceptionHandler,LifecycleAware,EventHandler,WaitStrategy,BlockingWaitStrategy,RingBuffer","commandhandling",""
"axon-test-4.7.5","org.axonframework.test.saga","org.hamcrest",9,91,21,"Description,Matcher,CoreMatchers,StringDescription","saga",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.legacyjpa","org.slf4j",8,15,10,"Logger,LoggerFactory","legacyjpa",""
"axon-messaging-4.7.5","org.axonframework.common.caching","javax.cache.event",8,34,12,"CacheEntryEventFilter,CacheEntryListener,CacheEntryUpdatedListener,CacheEntryListenerException,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryEvent,CacheEntryCreatedListener","caching",""
"axon-messaging-4.7.5","org.axonframework.messaging.annotation","org.slf4j",8,15,54,"LoggerFactory,Logger","annotation",""
"axon-messaging-4.7.5","org.axonframework.messaging.responsetypes","reactor.core.publisher",7,34,8,"Flux,Mono","responsetypes",""
"axon-messaging-4.7.5","org.axonframework.queryhandling","org.reactivestreams",7,27,40,"Publisher","queryhandling",""
"axon-messaging-4.7.5","org.axonframework.queryhandling","org.slf4j",7,16,40,"Logger,LoggerFactory","queryhandling",""
"axon-test-4.7.5","org.axonframework.test.aggregate","org.hamcrest",7,136,19,"CoreMatchers,Matcher,Description,StringDescription","aggregate",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore","org.slf4j",6,9,31,"LoggerFactory,Logger","eventstore",""
"axon-messaging-4.7.5","org.axonframework.messaging.responsetypes","org.reactivestreams",6,14,8,"Publisher","responsetypes",""
"axon-messaging-4.7.5","org.axonframework.serialization","com.thoughtworks.xstream.io",6,39,34,"HierarchicalStreamWriter,HierarchicalStreamReader","serialization",""
"axon-messaging-4.7.5","org.axonframework.serialization","com.thoughtworks.xstream.converters",6,12,34,"MarshallingContext,UnmarshallingContext","serialization",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository.jpa","jakarta.persistence",6,68,7,"Index,Query,EntityManager,EntityNotFoundException,EntityManagerFactory,TypedQuery","jpa",""
"axon-disruptor-4.7.5","org.axonframework.disruptor.commandhandling","com.lmax.disruptor.dsl",5,22,22,"Disruptor,ProducerType,EventHandlerGroup","commandhandling",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.jpa","jakarta.persistence",5,42,7,"EntityExistsException,Index,EntityManager,Query,TypedQuery","jpa",""
"axon-messaging-4.7.5","org.axonframework.common","org.slf4j",5,15,28,"Logger,LoggerFactory","common",""
"axon-messaging-4.7.5","org.axonframework.common.caching","net.sf.ehcache",5,63,12,"Element,Ehcache,CacheException","caching",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.async","org.slf4j",5,16,15,"Logger,LoggerFactory","async",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.jpa","jakarta.persistence",5,54,9,"Index,EntityManager,NoResultException,Query,TypedQuery","jpa",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore.jpa","jakarta.persistence",5,64,4,"LockModeType,TypedQuery,Query,EntityManager","jpa",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore.legacyjpa","javax.persistence",5,64,2,"EntityManager,LockModeType,TypedQuery,Query","legacyjpa",""
"axon-messaging-4.7.5","org.axonframework.messaging.interceptors","jakarta.validation",5,22,8,"ConstraintViolation,ValidatorFactory,Validator,Validation","interceptors",""
"axon-messaging-4.7.5","org.axonframework.messaging.interceptors.legacyvalidation","javax.validation",5,22,2,"Validator,Validation,ValidatorFactory,ConstraintViolation","legacyvalidation",""
"axon-messaging-4.7.5","org.axonframework.serialization","com.thoughtworks.xstream.mapper",5,10,34,"Mapper,CannotResolveClassException","serialization",""
"axon-messaging-4.7.5","org.axonframework.serialization.xml","nu.xom",5,16,7,"Document,ParsingException,Builder","xml",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository.legacyjpa","javax.persistence",5,66,3,"EntityManagerFactory,Query,EntityManager,TypedQuery,EntityNotFoundException","legacyjpa",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.jpa","org.slf4j",4,9,7,"LoggerFactory,Logger","jpa",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.legacyjpa","javax.persistence",4,41,10,"TypedQuery,EntityManager,Query,EntityExistsException","legacyjpa",""
"axon-messaging-4.7.5","org.axonframework.commandhandling.callbacks","org.slf4j",4,11,4,"LoggerFactory,Logger","callbacks",""
"axon-messaging-4.7.5","org.axonframework.commandhandling.gateway","org.slf4j",4,11,36,"Logger,LoggerFactory","gateway",""
"axon-messaging-4.7.5","org.axonframework.common.jpa","jakarta.persistence",4,12,4,"EntityManager,TypedQuery","jpa",""
"axon-messaging-4.7.5","org.axonframework.common.legacyjpa","javax.persistence",4,12,4,"TypedQuery,EntityManager","legacyjpa",""
"axon-messaging-4.7.5","org.axonframework.deadline.quartz","org.slf4j",4,12,4,"LoggerFactory,Logger","quartz",""
"axon-messaging-4.7.5","org.axonframework.eventhandling","com.fasterxml.jackson.annotation",4,13,93,"JsonTypeInfo$Id,JsonTypeInfo$As","eventhandling",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter","org.slf4j",4,17,4,"Logger,LoggerFactory","deadletter",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.legacyjpa","javax.persistence",4,51,6,"NoResultException,Query,EntityManager,TypedQuery","legacyjpa",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling.quartz","org.slf4j",4,9,6,"LoggerFactory,Logger","quartz",""
"axon-messaging-4.7.5","org.axonframework.messaging.unitofwork","org.slf4j",4,16,14,"LoggerFactory,Logger","unitofwork",""
"axon-messaging-4.7.5","org.axonframework.serialization.json","com.fasterxml.jackson.core",4,11,7,"JsonProcessingException,JacksonException,JsonParser","json",""
"axon-messaging-4.7.5","org.axonframework.serialization.xml","com.thoughtworks.xstream.io.xml",4,13,7,"Dom4JReader,XomReader,CompactWriter,XppDriver","xml",""
"axon-messaging-4.7.5","org.axonframework.tracing","org.slf4j",4,9,18,"Logger,LoggerFactory","tracing",""
"axon-modelling-4.7.5","org.axonframework.modelling.command","org.slf4j",4,8,51,"LoggerFactory,Logger","command",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga","org.slf4j",4,8,30,"LoggerFactory,Logger","saga",""
"axon-test-4.7.5","org.axonframework.test.deadline","org.hamcrest",4,54,4,"StringDescription,Matchers,Description,Matcher","deadline",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing","org.slf4j",3,7,39,"Logger,LoggerFactory","eventsourcing",""
"axon-messaging-4.7.5","org.axonframework.common.caching","net.sf.ehcache.event",3,9,12,"RegisteredEventListeners,CacheEventListener","caching",""
"axon-messaging-4.7.5","org.axonframework.common.caching","javax.cache.configuration",3,11,12,"CacheEntryListenerConfiguration,Factory","caching",""
"axon-messaging-4.7.5","org.axonframework.deadline","org.slf4j",3,7,10,"Logger,LoggerFactory","deadline",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling.java","org.slf4j",3,5,4,"Logger,LoggerFactory","java",""
"axon-messaging-4.7.5","org.axonframework.serialization","com.thoughtworks.xstream.converters.collections",3,7,34,"CollectionConverter,MapConverter","serialization",""
"axon-messaging-4.7.5","org.axonframework.serialization.json","com.fasterxml.jackson.databind.type",3,3,7,"TypeFactory","json",""
"axon-messaging-4.7.5","org.axonframework.serialization.json","com.fasterxml.jackson.databind.node",3,14,7,"ObjectNode,JsonNodeType","json",""
"axon-messaging-4.7.5","org.axonframework.serialization.xml","org.dom4j",3,12,7,"Document","xml",""
"axon-messaging-4.7.5","org.axonframework.serialization.xml","org.slf4j",3,5,7,"Logger,LoggerFactory","xml",""
"axon-messaging-4.7.5","org.axonframework.serialization.xml","com.thoughtworks.xstream.io",3,7,7,"HierarchicalStreamWriter,HierarchicalStreamDriver,HierarchicalStreamReader","xml",""
"axon-modelling-4.7.5","org.axonframework.modelling.command.inspection","org.slf4j",3,5,26,"Logger,LoggerFactory","inspection",""
"axon-test-4.7.5","org.axonframework.test.aggregate","org.junit.jupiter.api.extension",3,6,19,"BeforeEachCallback,AfterEachCallback,ExtensionContext","aggregate",""
"axon-test-4.7.5","org.axonframework.test.eventscheduler","org.hamcrest",3,29,5,"Description,Matcher,StringDescription","eventscheduler",""
"axon-test-4.7.5","org.axonframework.test.server","org.testcontainers.utility",3,17,2,"DockerImageName,MountableFile","server",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.jdbc","org.slf4j",2,3,14,"LoggerFactory,Logger","jdbc",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.jpa","javax.sql",2,9,7,"DataSource","jpa",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.legacyjpa","javax.sql",2,9,10,"DataSource","legacyjpa",""
"axon-messaging-4.7.5","org.axonframework.commandhandling","org.slf4j",2,3,29,"Logger,LoggerFactory","commandhandling",""
"axon-messaging-4.7.5","org.axonframework.commandhandling.distributed","org.slf4j",2,3,26,"LoggerFactory,Logger","distributed",""
"axon-messaging-4.7.5","org.axonframework.common.property","org.slf4j",2,4,9,"LoggerFactory,Logger","property",""
"axon-messaging-4.7.5","org.axonframework.deadline.jobrunr","org.jobrunr.scheduling",2,8,3,"JobScheduler","jobrunr",""
"axon-messaging-4.7.5","org.axonframework.deadline.jobrunr","org.slf4j",2,3,3,"LoggerFactory,Logger","jobrunr",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.jpa","org.slf4j",2,12,9,"LoggerFactory,Logger","jpa",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.legacyjpa","org.slf4j",2,12,6,"LoggerFactory,Logger","legacyjpa",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.interceptors","org.slf4j",2,3,1,"LoggerFactory,Logger","interceptors",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling","com.fasterxml.jackson.annotation",2,4,3,"JsonTypeInfo$Id,JsonTypeInfo$As","scheduling",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling.jobrunr","org.jobrunr.scheduling",2,11,3,"JobScheduler","jobrunr",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling.jobrunr","org.slf4j",2,6,3,"Logger,LoggerFactory","jobrunr",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore.jdbc","org.slf4j",2,3,9,"Logger,LoggerFactory","jdbc",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore.jpa","org.slf4j",2,3,4,"Logger,LoggerFactory","jpa",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore.legacyjpa","org.slf4j",2,3,2,"LoggerFactory,Logger","legacyjpa",""
"axon-messaging-4.7.5","org.axonframework.lifecycle","org.slf4j",2,3,10,"Logger,LoggerFactory","lifecycle",""
"axon-messaging-4.7.5","org.axonframework.messaging","org.slf4j",2,3,35,"LoggerFactory,Logger","messaging",""
"axon-messaging-4.7.5","org.axonframework.messaging.deadletter","org.slf4j",2,19,19,"LoggerFactory,Logger","deadletter",""
"axon-messaging-4.7.5","org.axonframework.messaging.interceptors","org.slf4j",2,7,8,"Logger,LoggerFactory","interceptors",""
"axon-messaging-4.7.5","org.axonframework.messaging.responsetypes","org.slf4j",2,3,8,"Logger,LoggerFactory","responsetypes",""
"axon-messaging-4.7.5","org.axonframework.queryhandling","reactor.util.context",2,7,40,"Context,ContextView","queryhandling",""
"axon-messaging-4.7.5","org.axonframework.queryhandling","reactor.util.concurrent",2,3,40,"Queues","queryhandling",""
"axon-messaging-4.7.5","org.axonframework.queryhandling.registration","org.slf4j",2,3,5,"Logger,LoggerFactory","registration",""
"axon-messaging-4.7.5","org.axonframework.serialization","org.slf4j",2,5,34,"LoggerFactory,Logger","serialization",""
"axon-messaging-4.7.5","org.axonframework.serialization","com.thoughtworks.xstream",2,30,34,"XStream","serialization",""
"axon-messaging-4.7.5","org.axonframework.serialization.xml","com.thoughtworks.xstream",2,17,7,"XStream","xml",""
"axon-modelling-4.7.5","org.axonframework.modelling.command","jakarta.persistence",2,8,51,"EntityManager,LockModeType","command",""
"axon-modelling-4.7.5","org.axonframework.modelling.command.legacyjpa","javax.persistence",2,8,2,"EntityManager,LockModeType","legacyjpa",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository.jdbc","org.slf4j",2,9,9,"Logger,LoggerFactory","jdbc",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository.jpa","org.slf4j",2,12,7,"LoggerFactory,Logger","jpa",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository.legacyjpa","org.slf4j",2,12,3,"LoggerFactory,Logger","legacyjpa",""
"axon-test-4.7.5","org.axonframework.test.aggregate","org.junit.runners.model",2,8,19,"Statement","aggregate",""
"axon-test-4.7.5","org.axonframework.test.aggregate","org.slf4j",2,10,19,"Logger,LoggerFactory","aggregate",""
"axon-test-4.7.5","org.axonframework.test.matchers","org.slf4j",2,3,24,"LoggerFactory,Logger","matchers",""
"axon-test-4.7.5","org.axonframework.test.server","org.testcontainers.containers.wait.strategy",2,2,2,"Wait","server",""
"axon-test-4.7.5","org.axonframework.test.server","org.testcontainers.containers",2,8,2,"GenericContainer","server",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.jpa","javax.persistence",1,1,7,"Index","jpa",""
"axon-messaging-4.7.5","org.axonframework.commandhandling.distributed","com.fasterxml.jackson.annotation",1,2,26,"JsonTypeInfo$Id","distributed",""
"axon-messaging-4.7.5","org.axonframework.common.caching","javax.cache",1,14,12,"Cache","caching",""
"axon-messaging-4.7.5","org.axonframework.common.jdbc","javax.sql",1,4,15,"DataSource","jdbc",""
"axon-messaging-4.7.5","org.axonframework.deadline.quartz","org.quartz.impl.matchers",1,2,4,"GroupMatcher","quartz",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.jpa","javax.persistence",1,3,9,"Index","jpa",""
"axon-messaging-4.7.5","org.axonframework.queryhandling","reactor.core",1,2,40,"Disposable","queryhandling",""
"axon-messaging-4.7.5","org.axonframework.serialization.json","com.fasterxml.jackson.databind.module",1,3,7,"SimpleModule","json",""
"axon-messaging-4.7.5","org.axonframework.serialization.json","com.fasterxml.jackson.datatype.jsr310",1,2,7,"JavaTimeModule","json",""
"axon-messaging-4.7.5","org.axonframework.serialization.json","com.fasterxml.jackson.databind.jsontype",1,3,7,"TypeDeserializer","json",""
"axon-messaging-4.7.5","org.axonframework.serialization.xml","org.dom4j.io",1,3,7,"STAXEventReader","xml",""
"axon-messaging-4.7.5","org.axonframework.serialization.xml","javax.xml.stream",1,2,7,"XMLStreamException","xml",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository.jdbc","javax.sql",1,2,9,"DataSource","jdbc",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository.jpa","javax.persistence",1,2,7,"Index","jpa",""
"axon-test-4.7.5","org.axonframework.test.aggregate","org.junit.rules",1,1,19,"TestRule","aggregate",""
"axon-test-4.7.5","org.axonframework.test.aggregate","org.junit.runner",1,2,19,"Description","aggregate",""
"axon-test-4.7.5","org.axonframework.test.saga","org.junit.jupiter.api",1,1,21,"Assertions","saga",""
