"artifactName","artifactTypes","numberOfExternalPackages","numberOfTypes","numberOfTypesPercentage","nameOfTypes","Source Cypher File: External_package_usage_per_type_distribution.cypher"
"axon-configuration-4.7.5",39,1,5,12.820512820512821,"org.axonframework.config.Component,org.axonframework.config.MessageHandlerRegistrar,org.axonframework.config.LifecycleHandlerInspector,org.axonframework.config.DefaultConfigurer$ConfigurationImpl,org.axonframework.config.DefaultConfigurer",""
"axon-disruptor-4.7.5",22,1,2,9.090909090909092,"org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback",""
"axon-disruptor-4.7.5",22,2,4,18.181818181818183,"org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$Builder",""
"axon-disruptor-4.7.5",22,3,3,13.636363636363637,"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler,org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository",""
"axon-eventsourcing-4.7.5",130,1,12,9.230769230769232,"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine,org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine$Builder,org.axonframework.eventsourcing.eventstore.AbstractEventStore,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventProducer,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$Cleaner,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$EventProducer,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$Cleaner,org.axonframework.eventsourcing.AbstractSnapshotter,org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine$Builder,org.axonframework.eventsourcing.AbstractSnapshotter$SilentTask",""
"axon-eventsourcing-4.7.5",130,2,3,2.307692307692308,"org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine",""
"axon-eventsourcing-4.7.5",130,3,2,1.5384615384615385,"org.axonframework.eventsourcing.eventstore.legacyjpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver",""
"axon-messaging-4.7.5",729,1,100,13.717421124828533,"org.axonframework.eventhandling.MultiStreamableMessageSource$MultiSourceBlockingStream,org.axonframework.eventhandling.pooled.MergeTask,org.axonframework.eventhandling.AbstractEventProcessor,org.axonframework.eventhandling.scheduling.java.SimpleEventScheduler$PublishEventTask,org.axonframework.eventhandling.LoggingErrorHandler,org.axonframework.eventhandling.TrackingEventProcessor$TrackingSegmentWorker,org.axonframework.eventhandling.async.EventProcessorTask,org.axonframework.eventhandling.TrackingEventProcessor,org.axonframework.tracing.LoggingSpanFactory$Slf4jSpan,org.axonframework.messaging.responsetypes.ResponseTypes,org.axonframework.common.jpa.PagingJpaQueryIterable,org.axonframework.serialization.xml.InputStreamToXomConverter,org.axonframework.queryhandling.UpdateHandlerRegistration,org.axonframework.eventhandling.pooled.CoordinatorTask,org.axonframework.eventhandling.async.AsynchronousEventProcessingStrategy,org.axonframework.messaging.interceptors.BeanValidationInterceptor,org.axonframework.common.IdentifierFactory,org.axonframework.messaging.annotation.AnnotatedMessageHandlingMember,org.axonframework.eventhandling.tokenstore.legacyjpa.JpaTokenStore$Builder,org.axonframework.messaging.interceptors.legacyvalidation.BeanValidationInterceptor,org.axonframework.eventhandling.async.AsynchronousEventProcessingStrategy$SchedulerCleanUp,org.axonframework.queryhandling.DefaultSubscriptionQueryResult,org.axonframework.commandhandling.LoggingDuplicateCommandHandlerResolver,org.axonframework.deadline.SimpleDeadlineManager$DeadlineTask,org.axonframework.tracing.LoggingSpanFactory,org.axonframework.eventhandling.MergedTrackingToken,org.axonframework.common.jpa.SimpleEntityManagerProvider,org.axonframework.eventhandling.ReplayToken,org.axonframework.common.legacyjpa.PagingJpaQueryIterable$PagingIterator,org.axonframework.common.jpa.PagingJpaQueryIterable$PagingIterator,org.axonframework.messaging.annotation.ClasspathHandlerEnhancerDefinition,org.axonframework.commandhandling.gateway.AbstractRetryScheduler,org.axonframework.common.jdbc.DataSourceConnectionProvider,org.axonframework.messaging.unitofwork.AbstractUnitOfWork,org.axonframework.messaging.unitofwork.MessageProcessingContext,org.axonframework.eventhandling.pooled.WorkPackage,org.axonframework.common.legacyjpa.SimpleEntityManagerProvider,org.axonframework.messaging.deadletter.InMemorySequencedDeadLetterQueue,org.axonframework.deadline.quartz.QuartzDeadlineManager$Builder,org.axonframework.queryhandling.GenericStreamingQueryMessage,org.axonframework.eventhandling.TrackingEventProcessor$MergeSegmentInstruction,org.axonframework.queryhandling.SubscriptionQueryBackpressure,org.axonframework.eventhandling.TrackingEventProcessor$WorkerLauncher,org.axonframework.eventhandling.tokenstore.jpa.JpaTokenStore$Builder,org.axonframework.common.legacyjpa.EntityManagerProvider,org.axonframework.commandhandling.SimpleCommandBus,org.axonframework.queryhandling.StreamingQueryMessage,org.axonframework.messaging.annotation.ClasspathParameterResolverFactory,org.axonframework.deadline.jobrunr.JobRunrDeadlineManager$Builder,org.axonframework.messaging.interceptors.LoggingInterceptor,org.axonframework.serialization.AbstractXStreamSerializer$Builder,org.axonframework.common.TypeReflectionUtils$VarMap,org.axonframework.commandhandling.distributed.CommandMessageFilter,org.axonframework.eventhandling.scheduling.quartz.EventJobDataBinder,org.axonframework.eventhandling.TrackingEventProcessor$SplitSegmentInstruction,org.axonframework.messaging.responsetypes.AbstractResponseType,org.axonframework.eventhandling.pooled.Coordinator,org.axonframework.queryhandling.SubscriptionQueryResult,org.axonframework.lifecycle.ShutdownLatch,org.axonframework.messaging.interceptors.JSR303ViolationException,org.axonframework.messaging.Scope,org.axonframework.common.jpa.EntityManagerProvider,org.axonframework.serialization.xml.Dom4JToByteArrayConverter,org.axonframework.eventhandling.MultiStreamableMessageSource,org.axonframework.eventhandling.scheduling.java.SimpleEventScheduler,org.axonframework.queryhandling.QueryBus$1,org.axonframework.eventhandling.interceptors.EventLoggingInterceptor,org.axonframework.eventhandling.AbstractEventBus,org.axonframework.queryhandling.LoggingQueryInvocationErrorHandler$Builder,org.axonframework.queryhandling.registration.LoggingDuplicateQueryHandlerResolver,org.axonframework.commandhandling.callbacks.LoggingCallback,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$Builder,org.axonframework.commandhandling.gateway.DefaultCommandGateway,org.axonframework.eventhandling.scheduling.ScheduleToken,org.axonframework.queryhandling.MonoSinkWrapper,org.axonframework.common.legacyjpa.PagingJpaQueryIterable,org.axonframework.eventhandling.pooled.SplitTask,org.axonframework.messaging.interceptors.legacyvalidation.JSR303ViolationException,org.axonframework.serialization.json.ByteArrayToJsonNodeConverter,org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder,org.axonframework.eventhandling.deadletter.DeadLetteringEventHandlerInvoker,org.axonframework.eventhandling.scheduling.jobrunr.JobRunrEventScheduler$Builder,org.axonframework.serialization.ChainingConverter,org.axonframework.queryhandling.LoggingQueryInvocationErrorHandler,org.axonframework.queryhandling.SinksManyWrapper,org.axonframework.eventhandling.pooled.Coordinator$CoordinationTask,org.axonframework.queryhandling.SimpleQueryBus$MonitorCallbackContextWriter,org.axonframework.common.TypeReflectionUtils,org.axonframework.eventhandling.pooled.PooledStreamingEventProcessor,org.axonframework.common.property.AbstractMethodPropertyAccessStrategy,org.axonframework.deadline.SimpleDeadlineManager,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$DirectEventJobDataBinder,org.axonframework.eventhandling.MultiSourceTrackingToken,org.axonframework.serialization.xml.XomToStringConverter,org.axonframework.commandhandling.distributed.DistributedCommandBus,org.axonframework.tracing.LoggingSpanFactory$Slf4jSpan$Slf4jSpanScope,org.axonframework.commandhandling.callbacks.FailureLoggingCallback,org.axonframework.eventhandling.deadletter.DeadLetteredEventProcessingTask,org.axonframework.eventhandling.tokenstore.jdbc.JdbcTokenStore,org.axonframework.messaging.annotation.ClasspathHandlerDefinition",""
"axon-messaging-4.7.5",729,2,29,3.9780521262002746,"org.axonframework.queryhandling.FluxSinkWrapper,org.axonframework.serialization.xml.XStreamSerializer$Builder,org.axonframework.queryhandling.SimpleQueryBus$SuccessReporter,org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue,org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue,org.axonframework.common.caching.JCacheAdapter,org.axonframework.queryhandling.QueryBus,org.axonframework.eventhandling.tokenstore.jpa.JpaTokenStore,org.axonframework.eventhandling.tokenstore.legacyjpa.JpaTokenStore,org.axonframework.common.caching.JCacheAdapter$JCacheListenerAdapter,org.axonframework.serialization.json.JsonNodeToByteArrayConverter,org.axonframework.common.caching.EhCacheAdapter$CacheEventListenerAdapter,org.axonframework.queryhandling.DefaultQueryGateway,org.axonframework.eventhandling.scheduling.quartz.FireEventJob,org.axonframework.deadline.jobrunr.JobRunrDeadlineManager,org.axonframework.common.caching.EhCacheAdapter,org.axonframework.messaging.responsetypes.OptionalResponseType,org.axonframework.serialization.AbstractXStreamSerializer,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry,org.axonframework.messaging.responsetypes.InstanceResponseType,org.axonframework.serialization.json.ObjectNodeToJsonNodeConverter,org.axonframework.deadline.quartz.DeadlineJob,org.axonframework.serialization.json.JacksonSerializer$Builder,org.axonframework.serialization.xml.CompactDriver,org.axonframework.queryhandling.QueryGateway,org.axonframework.serialization.json.JsonNodeToObjectNodeConverter,org.axonframework.messaging.responsetypes.PublisherResponseType,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler,org.axonframework.eventhandling.scheduling.jobrunr.JobRunrEventScheduler",""
"axon-messaging-4.7.5",729,3,5,0.6858710562414266,"org.axonframework.serialization.xml.InputStreamToDom4jConverter,org.axonframework.queryhandling.SimpleQueryBus,org.axonframework.queryhandling.SimpleQueryUpdateEmitter,org.axonframework.messaging.responsetypes.MultipleInstancesResponseType,org.axonframework.deadline.quartz.QuartzDeadlineManager",""
