"artifactName","artifactTypes","numberOfExternalPackages","numberOfTypes","numberOfTypesPercentage","nameOfTypes","Source Cypher File: External_package_usage_per_type_distribution.cypher"
"axon-configuration-4.7.5",39,1,5,12.820512820512821,"org.axonframework.config.DefaultConfigurer,org.axonframework.config.Component,org.axonframework.config.LifecycleHandlerInspector,org.axonframework.config.DefaultConfigurer$ConfigurationImpl,org.axonframework.config.MessageHandlerRegistrar",""
"axon-disruptor-4.7.5",22,1,2,9.090909090909092,"org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback",""
"axon-disruptor-4.7.5",22,2,4,18.181818181818183,"org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$Builder",""
"axon-disruptor-4.7.5",22,3,2,9.090909090909092,"org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler",""
"axon-eventsourcing-4.7.5",130,1,12,9.230769230769232,"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$Cleaner,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine,org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine$Builder,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$Cleaner,org.axonframework.eventsourcing.AbstractSnapshotter$SilentTask,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$EventProducer,org.axonframework.eventsourcing.eventstore.AbstractEventStore,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventProducer,org.axonframework.eventsourcing.AbstractSnapshotter,org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine$Builder",""
"axon-eventsourcing-4.7.5",130,2,3,2.307692307692308,"org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry",""
"axon-eventsourcing-4.7.5",130,3,2,1.5384615384615385,"org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.legacyjpa.SQLErrorCodesResolver",""
"axon-messaging-4.7.5",729,1,99,13.580246913580247,"org.axonframework.queryhandling.SimpleQueryBus$MonitorCallbackContextWriter,org.axonframework.eventhandling.pooled.SplitTask,org.axonframework.eventhandling.scheduling.jobrunr.JobRunrEventScheduler$Builder,org.axonframework.serialization.ChainingConverter,org.axonframework.tracing.LoggingSpanFactory$Slf4jSpan$Slf4jSpanScope,org.axonframework.common.property.AbstractMethodPropertyAccessStrategy,org.axonframework.commandhandling.distributed.CommandMessageFilter,org.axonframework.serialization.xml.Dom4JToByteArrayConverter,org.axonframework.serialization.xml.InputStreamToXomConverter,org.axonframework.messaging.responsetypes.AbstractResponseType,org.axonframework.eventhandling.TrackingEventProcessor,org.axonframework.lifecycle.ShutdownLatch,org.axonframework.eventhandling.MergedTrackingToken,org.axonframework.common.TypeReflectionUtils$VarMap,org.axonframework.eventhandling.async.AsynchronousEventProcessingStrategy$SchedulerCleanUp,org.axonframework.eventhandling.async.EventProcessorTask,org.axonframework.eventhandling.async.AsynchronousEventProcessingStrategy,org.axonframework.queryhandling.DefaultSubscriptionQueryResult,org.axonframework.commandhandling.SimpleCommandBus,org.axonframework.messaging.unitofwork.AbstractUnitOfWork,org.axonframework.queryhandling.SinksManyWrapper,org.axonframework.eventhandling.pooled.PooledStreamingEventProcessor,org.axonframework.queryhandling.UpdateHandlerRegistration,org.axonframework.eventhandling.TrackingEventProcessor$WorkerLauncher,org.axonframework.queryhandling.QueryBus$1,org.axonframework.common.legacyjpa.EntityManagerProvider,org.axonframework.eventhandling.pooled.Coordinator$CoordinationTask,org.axonframework.serialization.AbstractXStreamSerializer$Builder,org.axonframework.common.jdbc.DataSourceConnectionProvider,org.axonframework.eventhandling.scheduling.ScheduleToken,org.axonframework.messaging.interceptors.BeanValidationInterceptor,org.axonframework.common.jpa.SimpleEntityManagerProvider,org.axonframework.eventhandling.scheduling.java.SimpleEventScheduler,org.axonframework.deadline.SimpleDeadlineManager$DeadlineTask,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$Builder,org.axonframework.common.jpa.EntityManagerProvider,org.axonframework.commandhandling.gateway.DefaultCommandGateway,org.axonframework.messaging.interceptors.legacyvalidation.JSR303ViolationException,org.axonframework.eventhandling.MultiSourceTrackingToken,org.axonframework.eventhandling.MultiStreamableMessageSource$MultiSourceBlockingStream,org.axonframework.messaging.interceptors.legacyvalidation.BeanValidationInterceptor,org.axonframework.messaging.annotation.AnnotatedMessageHandlingMember,org.axonframework.tracing.LoggingSpanFactory,org.axonframework.messaging.deadletter.InMemorySequencedDeadLetterQueue,org.axonframework.eventhandling.pooled.MergeTask,org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder,org.axonframework.eventhandling.tokenstore.jdbc.JdbcTokenStore,org.axonframework.queryhandling.LoggingQueryInvocationErrorHandler$Builder,org.axonframework.queryhandling.registration.LoggingDuplicateQueryHandlerResolver,org.axonframework.serialization.json.ByteArrayToJsonNodeConverter,org.axonframework.queryhandling.GenericStreamingQueryMessage,org.axonframework.messaging.responsetypes.ResponseTypes,org.axonframework.messaging.annotation.ClasspathHandlerDefinition,org.axonframework.commandhandling.gateway.AbstractRetryScheduler,org.axonframework.messaging.annotation.ClasspathParameterResolverFactory,org.axonframework.eventhandling.scheduling.quartz.EventJobDataBinder,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$DirectEventJobDataBinder,org.axonframework.common.jpa.PagingJpaQueryIterable$PagingIterator,org.axonframework.messaging.interceptors.JSR303ViolationException,org.axonframework.eventhandling.pooled.WorkPackage,org.axonframework.tracing.LoggingSpanFactory$Slf4jSpan,org.axonframework.eventhandling.ReplayToken,org.axonframework.queryhandling.SubscriptionQueryBackpressure,org.axonframework.commandhandling.LoggingDuplicateCommandHandlerResolver,org.axonframework.serialization.xml.XomToStringConverter,org.axonframework.common.TypeReflectionUtils,org.axonframework.eventhandling.pooled.CoordinatorTask,org.axonframework.common.legacyjpa.PagingJpaQueryIterable$PagingIterator,org.axonframework.eventhandling.tokenstore.jpa.JpaTokenStore$Builder,org.axonframework.eventhandling.LoggingErrorHandler,org.axonframework.messaging.interceptors.LoggingInterceptor,org.axonframework.eventhandling.MultiStreamableMessageSource,org.axonframework.commandhandling.distributed.DistributedCommandBus,org.axonframework.queryhandling.LoggingQueryInvocationErrorHandler,org.axonframework.eventhandling.deadletter.DeadLetteringEventHandlerInvoker,org.axonframework.eventhandling.TrackingEventProcessor$MergeSegmentInstruction,org.axonframework.commandhandling.callbacks.FailureLoggingCallback,org.axonframework.queryhandling.StreamingQueryMessage,org.axonframework.commandhandling.callbacks.LoggingCallback,org.axonframework.messaging.annotation.ClasspathHandlerEnhancerDefinition,org.axonframework.messaging.Scope,org.axonframework.deadline.SimpleDeadlineManager,org.axonframework.common.legacyjpa.PagingJpaQueryIterable,org.axonframework.common.jpa.PagingJpaQueryIterable,org.axonframework.common.legacyjpa.SimpleEntityManagerProvider,org.axonframework.common.IdentifierFactory,org.axonframework.eventhandling.tokenstore.legacyjpa.JpaTokenStore$Builder,org.axonframework.eventhandling.pooled.Coordinator,org.axonframework.queryhandling.SubscriptionQueryResult,org.axonframework.eventhandling.scheduling.java.SimpleEventScheduler$PublishEventTask,org.axonframework.eventhandling.AbstractEventProcessor,org.axonframework.messaging.unitofwork.MessageProcessingContext,org.axonframework.eventhandling.TrackingEventProcessor$TrackingSegmentWorker,org.axonframework.deadline.quartz.QuartzDeadlineManager$Builder,org.axonframework.eventhandling.deadletter.DeadLetteredEventProcessingTask,org.axonframework.eventhandling.interceptors.EventLoggingInterceptor,org.axonframework.eventhandling.TrackingEventProcessor$SplitSegmentInstruction,org.axonframework.deadline.jobrunr.JobRunrDeadlineManager$Builder,org.axonframework.queryhandling.MonoSinkWrapper",""
"axon-messaging-4.7.5",729,2,29,3.9780521262002746,"org.axonframework.common.caching.JCacheAdapter,org.axonframework.queryhandling.QueryBus,org.axonframework.eventhandling.scheduling.jobrunr.JobRunrEventScheduler,org.axonframework.deadline.quartz.DeadlineJob,org.axonframework.eventhandling.scheduling.quartz.FireEventJob,org.axonframework.messaging.responsetypes.OptionalResponseType,org.axonframework.serialization.xml.XStreamSerializer$Builder,org.axonframework.serialization.json.JsonNodeToObjectNodeConverter,org.axonframework.queryhandling.QueryGateway,org.axonframework.common.caching.EhCacheAdapter,org.axonframework.common.caching.EhCacheAdapter$CacheEventListenerAdapter,org.axonframework.eventhandling.tokenstore.jpa.JpaTokenStore,org.axonframework.messaging.responsetypes.InstanceResponseType,org.axonframework.eventhandling.tokenstore.legacyjpa.JpaTokenStore,org.axonframework.queryhandling.FluxSinkWrapper,org.axonframework.serialization.xml.CompactDriver,org.axonframework.serialization.json.ObjectNodeToJsonNodeConverter,org.axonframework.queryhandling.DefaultQueryGateway,org.axonframework.serialization.json.JacksonSerializer$Builder,org.axonframework.messaging.responsetypes.PublisherResponseType,org.axonframework.deadline.jobrunr.JobRunrDeadlineManager,org.axonframework.common.caching.JCacheAdapter$JCacheListenerAdapter,org.axonframework.queryhandling.SimpleQueryBus$SuccessReporter,org.axonframework.serialization.AbstractXStreamSerializer,org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler,org.axonframework.serialization.json.JsonNodeToByteArrayConverter,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry,org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue",""
"axon-messaging-4.7.5",729,3,4,0.5486968449931413,"org.axonframework.serialization.xml.InputStreamToDom4jConverter,org.axonframework.deadline.quartz.QuartzDeadlineManager,org.axonframework.messaging.responsetypes.MultipleInstancesResponseType,org.axonframework.queryhandling.SimpleQueryUpdateEmitter",""
