"codeUnitName","shortName","topologicalSortIndex","maxDistanceFromSource","overallMaxDistanceFromSource","incomingDependencies","outgoingDependencies","Source Cypher File: Topological_Sort/Topological_Sort_Query.cypher"
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0,0,3,7,32,""
"org.axonframework.eventhandling.gateway","gateway",1,0,3,11,21,""
"org.axonframework.eventhandling.interceptors","interceptors",2,0,3,0,7,""
"org.axonframework.eventhandling.pooled","pooled",3,0,3,55,158,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",4,0,3,2,9,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",5,0,3,16,39,""
"org.axonframework.eventhandling.scheduling.java","java",6,0,3,5,24,""
"org.axonframework.commandhandling.gateway","gateway",7,0,3,97,166,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",8,0,3,1,13,""
"org.axonframework.serialization.converters","converters",9,0,3,0,7,""
"org.axonframework.serialization.json","json",10,0,3,7,33,""
"org.axonframework.queryhandling.annotation","annotation",11,0,3,4,28,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",12,0,3,3,27,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",13,0,3,10,44,""
"org.axonframework.test.saga","saga",14,0,3,43,149,""
"org.axonframework.test.server","server",15,0,3,1,2,""
"org.axonframework.disruptor.commandhandling","commandhandling",16,0,3,55,185,""
"org.axonframework.test.aggregate","aggregate",17,0,3,31,181,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",18,0,3,5,7,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",19,0,3,16,42,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",20,0,3,3,21,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",22,0,3,2,24,""
"org.axonframework.common.caching","caching",23,0,3,37,35,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",24,0,3,1,7,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",25,0,3,2,22,""
"org.axonframework.tracing.attributes","attributes",26,0,3,0,16,""
"org.axonframework.deadline.annotation","annotation",27,0,3,6,15,""
"org.axonframework.deadline.dbscheduler","dbscheduler",28,0,3,7,58,""
"org.axonframework.deadline.quartz","quartz",29,0,3,5,57,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",30,0,3,34,105,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",31,0,3,9,56,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",32,0,3,23,85,""
"org.axonframework.eventhandling.deadletter","deadletter",33,0,3,10,51,""
"org.axonframework.test.utils","utils",34,1,3,8,14,""
"org.axonframework.test.eventscheduler","eventscheduler",35,1,3,9,16,""
"org.axonframework.deadline.jobrunr","jobrunr",36,1,3,5,49,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",37,1,3,22,66,""
"org.axonframework.messaging.deadletter","deadletter",38,2,3,108,61,""
"org.axonframework.common.legacyjpa","legacyjpa",39,1,3,14,6,""
"org.axonframework.common.jdbc","jdbc",40,1,3,65,36,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",41,1,3,9,29,""
"org.axonframework.common.jpa","jpa",42,2,3,16,6,""
"org.axonframework.eventhandling.scheduling","scheduling",43,1,3,20,2,""
"org.axonframework.common.lock","lock",44,1,3,42,24,""
"org.axonframework.test.deadline","deadline",45,1,3,10,26,""
"org.axonframework.serialization.xml","xml",46,1,3,17,24,""
"org.axonframework.test.matchers","matchers",47,2,3,51,42,""
"org.axonframework.test","test",48,3,3,16,8,""
"org.axonframework.modelling.saga.repository.jpa","jpa",49,1,3,12,29,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",50,1,3,9,45,""
"org.axonframework.modelling.saga.repository","repository",51,2,3,50,69,""
"org.axonframework.config","config",92,0,3,119,467,""
