"communityId","artifactName","packageCount","packageNames","Source Cypher File: Community_Detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-modelling-4.10.1",1,"inmemory",""
0,"axon-test-4.10.1",7,"test,aggregate,matchers,saga,utils,deadline,eventscheduler",""
1,"axon-messaging-4.10.1",3,"java,lifecycle,attributes",""
1,"axon-server-connector-4.10.1",11,"connector,util,heartbeat,source,checker,query,subscription,processor,command,axon",""
1,"axon-spring-boot-autoconfigure-4.10.1",7,"actuator,axonserver,springboot,util,jpa,connection,autoconfig",""
1,"axon-test-4.10.1",1,"server",""
2,"axon-disruptor-4.10.1",1,"commandhandling",""
2,"axon-eventsourcing-4.10.1",2,"eventsourcing,conflictresolution",""
2,"axon-messaging-4.10.1",14,"commandhandling,callbacks,distributed,commandfilter,gateway,common,annotation,caching,digest,lock,property",""
2,"axon-modelling-4.10.1",3,"command,inspection,legacyjpa",""
3,"axon-configuration-4.10.1",1,"config",""
3,"axon-eventsourcing-4.10.1",7,"eventstore,inmemory,jdbc,statements,jpa,legacyjpa,snapshotting",""
3,"axon-messaging-4.10.1",10,"io,stream,transaction,eventhandling,async,deadletter,gateway,pooled,monitoring,util",""
4,"axon-messaging-4.10.1",12,"jdbc,jpa,legacyjpa,tokenstore,inmemory,deadletter",""
4,"axon-spring-boot-autoconfigure-4.10.1",2,"legacyjpa",""
5,"axon-messaging-4.10.1",25,"deadline,dbscheduler,jobrunr,quartz,interceptors,replay,scheduling,messaging,correlation,legacyvalidation,responsetypes,unitofwork,queryhandling,registration,serialization,converters,json,upcasting,event,xml,tracing",""
5,"axon-tracing-opentelemetry-4.10.1",1,"opentelemetry",""
