"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality_5c_Betweeness_Stream.cypher"
"org.axonframework.eventhandling","eventhandling",992,4293,1379,""
"org.axonframework.tracing","tracing",471.5,160,110,""
"org.axonframework.messaging","messaging",409.58333333333337,8180,119,""
"org.axonframework.messaging.annotation","annotation",408.58333333333337,1017,301,""
"org.axonframework.serialization","serialization",290.5,1011,176,""
"org.axonframework.queryhandling","queryhandling",272.91666666666663,154,628,""
"org.axonframework.commandhandling","commandhandling",163.16666666666666,1497,642,""
"org.axonframework.lifecycle","lifecycle",155.33333333333331,62,10,""
"org.axonframework.modelling.saga.repository","repository",124.33333333333333,72,199,""
"org.axonframework.util","util",122,3,6,""
"org.axonframework.eventsourcing.eventstore","eventstore",121.5,166,603,""
"org.axonframework.messaging.unitofwork","unitofwork",84.33333333333333,240,123,""
"org.axonframework.queryhandling.registration","registration",79,8,13,""
"org.axonframework.serialization.upcasting.event","event",75,38,188,""
"org.axonframework.eventhandling.async","async",69.5,41,76,""
"org.axonframework.deadline","deadline",58.25,159,347,""
"org.axonframework.eventhandling.replay","replay",58.166666666666664,12,72,""
"org.axonframework.messaging.correlation","correlation",53,25,14,""
"org.axonframework.messaging.interceptors","interceptors",49.333333333333336,9,119,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",43.666666666666664,23,17,""
"org.axonframework.messaging.responsetypes","responsetypes",40,73,22,""
"org.axonframework.modelling.command","command",38.08333333333333,236,824,""
"org.axonframework.eventsourcing","eventsourcing",38,128,976,""
"org.axonframework.monitoring","monitoring",26.999999999999996,171,21,""
"org.axonframework.test.matchers","matchers",23.5,57,51,""
"org.axonframework.modelling.saga","saga",20,242,386,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",13.5,15,99,""
"org.axonframework.test","test",11.333333333333334,14,13,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",11,218,1340,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",9,9,236,""
"org.axonframework.serialization.xml","xml",8,17,28,""
"org.axonframework.common.annotation","annotation",7.833333333333333,22,3,""
"org.axonframework.common.jpa","jpa",7.166666666666667,16,6,""
"org.axonframework.common.legacyjpa","legacyjpa",7,14,6,""
"org.axonframework.common.jdbc","jdbc",6.333333333333333,49,41,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",4.5,5,15,""
"org.axonframework.modelling.saga.metamodel","metamodel",4,15,53,""
"org.axonframework.modelling.command.inspection","inspection",3.5,82,781,""
"org.axonframework.test.deadline","deadline",3,9,138,""
"org.axonframework.test.eventscheduler","eventscheduler",2,9,38,""
"org.axonframework.commandhandling.gateway","gateway",2,101,447,""
"org.axonframework.modelling.saga.repository.jpa","jpa",2,12,86,""
"org.axonframework.common.property","property",2,23,15,""
"org.axonframework.eventhandling.scheduling","scheduling",1.5,16,2,""
"org.axonframework.queryhandling.annotation","annotation",1,4,199,""
"org.axonframework.commandhandling.distributed","distributed",1,50,603,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",1,25,317,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",1,9,119,""
"org.axonframework.test.utils","utils",1,8,70,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.6666666666666666,2,25,""
"org.axonframework.common.digest","digest",0.5,1,1,""
"org.axonframework.common.lock","lock",0.5,46,25,""
"org.axonframework.test.aggregate","aggregate",0,19,859,""
"org.axonframework.deadline.annotation","annotation",0,6,29,""
"org.axonframework.tracing.attributes","attributes",0,0,43,""
"org.axonframework.common.caching","caching",0,30,40,""
"org.axonframework.commandhandling.callbacks","callbacks",0,8,39,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0,12,34,""
"org.axonframework.disruptor.commandhandling","commandhandling",0,50,1419,""
"org.axonframework.common","common",0,848,23,""
"org.axonframework.config","config",0,114,7941,""
"org.axonframework.serialization.converters","converters",0,0,7,""
"org.axonframework.eventhandling.deadletter","deadletter",0,9,275,""
"org.axonframework.messaging.deadletter","deadletter",0,135,104,""
"org.axonframework.eventhandling.gateway","gateway",0,11,52,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,1,75,""
"org.axonframework.eventhandling.interceptors","interceptors",0,0,28,""
"org.axonframework.common.io","io",0,10,0,""
"org.axonframework.eventhandling.scheduling.java","java",0,5,76,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0,16,195,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0,13,133,""
"org.axonframework.deadline.jobrunr","jobrunr",0,3,348,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0,3,198,""
"org.axonframework.serialization.json","json",0,7,87,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0,23,375,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0,9,330,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0,2,106,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0,2,143,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0,3,81,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0,1,27,""
"org.axonframework.eventhandling.pooled","pooled",0,52,1022,""
"org.axonframework.deadline.quartz","quartz",0,5,481,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0,10,202,""
"org.axonframework.test.saga","saga",0,43,1375,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0,30,80,""
"org.axonframework.common.stream","stream",0,29,5,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0,68,37,""
"org.axonframework.common.transaction","transaction",0,275,6,""
"org.axonframework.serialization.upcasting","upcasting",0,11,5,""
