"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality_5c_Betweeness_Stream.cypher"
"org.axonframework.eventhandling","eventhandling",833,4409,1557,""
"org.axonframework.messaging","messaging",427.83333333333337,8507,133,""
"org.axonframework.tracing","tracing",427.49999999999994,173,122,""
"org.axonframework.serialization","serialization",325.49999999999994,1078,176,""
"org.axonframework.messaging.annotation","annotation",320.99999999999994,1050,301,""
"org.axonframework.queryhandling","queryhandling",273.1666666666667,175,1108,""
"org.axonframework.commandhandling","commandhandling",188.33333333333337,1539,642,""
"org.axonframework.eventsourcing.eventstore","eventstore",145.91666666666666,169,603,""
"org.axonframework.lifecycle","lifecycle",123.5,62,10,""
"org.axonframework.modelling.saga.repository","repository",113.08333333333333,72,199,""
"org.axonframework.util","util",112.91666666666667,3,6,""
"org.axonframework.messaging.unitofwork","unitofwork",82.66666666666666,251,123,""
"org.axonframework.serialization.upcasting.event","event",75,38,188,""
"org.axonframework.eventhandling.async","async",68.5,41,76,""
"org.axonframework.messaging.interceptors","interceptors",68,10,119,""
"org.axonframework.messaging.correlation","correlation",67.5,25,14,""
"org.axonframework.eventhandling.replay","replay",63.166666666666664,12,72,""
"org.axonframework.queryhandling.registration","registration",63,9,13,""
"org.axonframework.deadline","deadline",59.916666666666664,165,347,""
"org.axonframework.messaging.responsetypes","responsetypes",45,78,65,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",45,23,17,""
"org.axonframework.modelling.command","command",36.08333333333333,254,827,""
"org.axonframework.monitoring","monitoring",35.833333333333336,189,21,""
"org.axonframework.eventsourcing","eventsourcing",29,134,976,""
"org.axonframework.test.matchers","matchers",22.5,61,51,""
"org.axonframework.modelling.saga","saga",22.5,242,386,""
"org.axonframework.test","test",13.333333333333334,16,13,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",11,218,1340,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",10.5,15,99,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",9,9,236,""
"org.axonframework.serialization.xml","xml",8,17,28,""
"org.axonframework.common.annotation","annotation",7.833333333333333,22,3,""
"org.axonframework.common.jpa","jpa",7.25,16,6,""
"org.axonframework.common.legacyjpa","legacyjpa",7,14,6,""
"org.axonframework.common.jdbc","jdbc",6,49,41,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",4.25,5,15,""
"org.axonframework.modelling.saga.metamodel","metamodel",4,15,53,""
"org.axonframework.modelling.command.inspection","inspection",3.5,84,781,""
"org.axonframework.test.deadline","deadline",3,10,138,""
"org.axonframework.commandhandling.gateway","gateway",3,101,447,""
"org.axonframework.queryhandling.annotation","annotation",2,4,199,""
"org.axonframework.test.eventscheduler","eventscheduler",2,9,38,""
"org.axonframework.modelling.saga.repository.jpa","jpa",2,12,86,""
"org.axonframework.common.property","property",2,23,15,""
"org.axonframework.eventhandling.tokenstore","tokenstore",2,69,42,""
"org.axonframework.eventhandling.scheduling","scheduling",1.5,16,2,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",1,12,34,""
"org.axonframework.commandhandling.distributed","distributed",1,50,603,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",1,25,317,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",1,9,119,""
"org.axonframework.test.utils","utils",1,8,70,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.75,2,25,""
"org.axonframework.common.digest","digest",0.5,1,1,""
"org.axonframework.common.lock","lock",0.5,46,25,""
"org.axonframework.test.aggregate","aggregate",0,31,2223,""
"org.axonframework.deadline.annotation","annotation",0,6,29,""
"org.axonframework.tracing.attributes","attributes",0,0,43,""
"org.axonframework.common.caching","caching",0,30,40,""
"org.axonframework.commandhandling.callbacks","callbacks",0,8,39,""
"org.axonframework.disruptor.commandhandling","commandhandling",0,55,1487,""
"org.axonframework.common","common",0,876,23,""
"org.axonframework.config","config",0,115,7942,""
"org.axonframework.serialization.converters","converters",0,0,7,""
"org.axonframework.eventhandling.deadletter","deadletter",0,9,275,""
"org.axonframework.messaging.deadletter","deadletter",0,135,104,""
"org.axonframework.eventhandling.gateway","gateway",0,11,52,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,1,75,""
"org.axonframework.eventhandling.interceptors","interceptors",0,0,28,""
"org.axonframework.common.io","io",0,10,0,""
"org.axonframework.eventhandling.scheduling.java","java",0,5,76,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0,13,133,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0,16,195,""
"org.axonframework.deadline.jobrunr","jobrunr",0,3,348,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0,3,198,""
"org.axonframework.serialization.json","json",0,7,87,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0,23,375,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0,2,143,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0,3,81,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0,9,330,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0,2,106,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0,1,27,""
"org.axonframework.eventhandling.pooled","pooled",0,52,1022,""
"org.axonframework.deadline.quartz","quartz",0,5,481,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0,10,202,""
"org.axonframework.test.saga","saga",0,43,1375,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0,30,80,""
"org.axonframework.common.stream","stream",0,29,5,""
"org.axonframework.common.transaction","transaction",0,276,6,""
"org.axonframework.serialization.upcasting","upcasting",0,11,5,""
