"fullQualifiedPackageName","packageName","centrality","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality_7a_Harmonic_Closeness_Stream.cypher"
"org.axonframework.common","common",0.8920454545454546,851,19,""
"org.axonframework.messaging","messaging",0.7045454545454546,8497,133,""
"org.axonframework.eventhandling","eventhandling",0.6666666666666666,4186,1393,""
"org.axonframework.messaging.unitofwork","unitofwork",0.6098484848484849,244,123,""
"org.axonframework.serialization","serialization",0.5833333333333333,1030,176,""
"org.axonframework.common.transaction","transaction",0.5568181818181818,276,6,""
"org.axonframework.messaging.annotation","annotation",0.5473484848484849,1026,301,""
"org.axonframework.tracing","tracing",0.48295454545454547,165,122,""
"org.axonframework.commandhandling","commandhandling",0.4744318181818182,1525,642,""
"org.axonframework.common.stream","stream",0.44128787878787884,27,5,""
"org.axonframework.monitoring","monitoring",0.4393939393939394,172,21,""
"org.axonframework.common.io","io",0.4289772727272727,9,0,""
"org.axonframework.lifecycle","lifecycle",0.4289772727272727,59,10,""
"org.axonframework.deadline","deadline",0.425189393939394,165,347,""
"org.axonframework.queryhandling","queryhandling",0.4081439393939394,175,1108,""
"org.axonframework.serialization.upcasting.event","event",0.4053030303030303,38,188,""
"org.axonframework.common.annotation","annotation",0.40435606060606055,22,3,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.4034090909090909,69,42,""
"org.axonframework.eventhandling.async","async",0.375,41,76,""
"org.axonframework.eventhandling.replay","replay",0.3693181818181818,12,72,""
"org.axonframework.messaging.correlation","correlation",0.36363636363636365,25,14,""
"org.axonframework.messaging.interceptors","interceptors",0.36079545454545453,10,119,""
"org.axonframework.util","util",0.3598484848484848,3,6,""
"org.axonframework.common.property","property",0.3255681818181818,23,15,""
"org.axonframework.commandhandling.callbacks","callbacks",0.31477272727272726,8,39,""
"org.axonframework.messaging.responsetypes","responsetypes",0.28920454545454544,78,65,""
"org.axonframework.serialization.upcasting","upcasting",0.27821969696969695,11,5,""
"org.axonframework.queryhandling.registration","registration",0.2731060606060606,9,13,""
"org.axonframework.common.jpa","jpa",0.14962121212121213,16,6,""
"org.axonframework.common.lock","lock",0.14583333333333334,46,25,""
"org.axonframework.serialization.xml","xml",0.12878787878787878,17,28,""
"org.axonframework.modelling.command","command",0.125,254,827,""
"org.axonframework.common.jdbc","jdbc",0.11363636363636363,49,41,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.10795454545454546,128,411,""
"org.axonframework.common.caching","caching",0.10700757575757575,30,40,""
"org.axonframework.modelling.saga","saga",0.10227272727272728,242,386,""
"org.axonframework.modelling.command.inspection","inspection",0.10037878787878789,84,751,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.09090909090909091,23,17,""
"org.axonframework.eventsourcing","eventsourcing",0.07765151515151515,133,976,""
"org.axonframework.modelling.saga.repository","repository",0.06818181818181818,72,199,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.0625,11,29,""
"org.axonframework.eventhandling.scheduling","scheduling",0.0625,16,2,""
"org.axonframework.common.legacyjpa","legacyjpa",0.056818181818181816,14,6,""
"org.axonframework.test","test",0.056818181818181816,16,13,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.05208333333333333,15,99,""
"org.axonframework.messaging.deadletter","deadletter",0.045454545454545456,135,104,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.03409090909090909,12,86,""
"org.axonframework.test.matchers","matchers",0.03409090909090909,61,51,""
"org.axonframework.test.deadline","deadline",0.022727272727272728,10,138,""
"org.axonframework.commandhandling.gateway","gateway",0.022727272727272728,101,447,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.022727272727272728,5,15,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.022727272727272728,9,236,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.022727272727272728,9,119,""
"org.axonframework.common.digest","digest",0.017045454545454544,1,1,""
"org.axonframework.queryhandling.annotation","annotation",0.011363636363636364,4,199,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.011363636363636364,12,34,""
"org.axonframework.disruptor.commandhandling","commandhandling",0.011363636363636364,55,1487,""
"org.axonframework.eventhandling.deadletter","deadletter",0.011363636363636364,9,275,""
"org.axonframework.commandhandling.distributed","distributed",0.011363636363636364,50,603,""
"org.axonframework.test.eventscheduler","eventscheduler",0.011363636363636364,9,38,""
"org.axonframework.eventhandling.gateway","gateway",0.011363636363636364,11,52,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.011363636363636364,2,25,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.011363636363636364,218,1340,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.011363636363636364,25,317,""
"org.axonframework.eventhandling.pooled","pooled",0.011363636363636364,52,1022,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.011363636363636364,30,80,""
"org.axonframework.test.utils","utils",0.011363636363636364,8,70,""
"org.axonframework.test.aggregate","aggregate",0,31,2223,""
"org.axonframework.deadline.annotation","annotation",0,6,29,""
"org.axonframework.tracing.attributes","attributes",0,0,43,""
"org.axonframework.config","config",0,115,7942,""
"org.axonframework.serialization.converters","converters",0,0,7,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,1,75,""
"org.axonframework.eventhandling.interceptors","interceptors",0,0,28,""
"org.axonframework.eventhandling.scheduling.java","java",0,5,76,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0,16,195,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0,13,133,""
"org.axonframework.deadline.jobrunr","jobrunr",0,3,348,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0,3,198,""
"org.axonframework.serialization.json","json",0,7,87,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0,23,375,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0,9,330,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0,2,106,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0,2,143,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0,3,81,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0,1,27,""
"org.axonframework.deadline.quartz","quartz",0,5,481,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0,10,202,""
"org.axonframework.test.saga","saga",0,43,1375,""
