"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","incomingDependencies","outgoingDependencies","Source Cypher File: Community_Detection/Community_Detection_Summary.cypher"
"org.axonframework.eventsourcing","eventsourcing",0,"2,5",0,"4,5",,0,0,2,13,145,1009,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0,"2,5",0,"4,5",,0,0,2,15,15,99,""
"org.axonframework.eventsourcing.eventstore","eventstore",0,"2,5",0,"4,5",,0,0,3,16,169,615,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,"2,5",0,"4,5",,0,0,1,7,1,75,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0,"5,5",0,"5,5",,0,1,2,5,218,1340,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0,"5,5",0,"5,5",,0,1,2,12,30,80,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0,"2,5",0,"4,5",,0,0,3,12,9,236,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0,"2,5",0,"4,5",,0,0,3,8,23,389,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0,"2,5",0,"4,5",,0,0,3,9,23,17,""
"org.axonframework.config","config",1,"9,9",1,"9,6",,1,2,0,0,119,10226,""
"org.axonframework.commandhandling","commandhandling",2,"14,62",2,"14,8",,2,3,8,0,1641,691,""
"org.axonframework.commandhandling.callbacks","callbacks",2,"14,62",2,"14,8",,2,3,4,11,8,39,""
"org.axonframework.commandhandling.distributed","distributed",2,"14,62",2,"14,8",,2,3,7,5,50,738,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",2,"14,62",2,"14,8",,2,3,3,12,12,34,""
"org.axonframework.commandhandling.gateway","gateway",2,"14,62",2,"14,8",,2,3,6,4,97,443,""
"org.axonframework.common","common",3,"40,40",3,"40,1",,2,3,8,16,926,23,""
"org.axonframework.common.annotation","annotation",2,"54,62",2,"62,8",,2,3,5,0,22,3,""
"org.axonframework.common.caching","caching",3,"40,40",3,"40,1",,2,3,1,5,37,49,""
"org.axonframework.common.digest","digest",3,"40,40",3,"40,1",,2,3,3,3,2,1,""
"org.axonframework.common.io","io",3,"40,40",3,"40,1",,2,3,5,16,10,0,""
"org.axonframework.common.jdbc","jdbc",4,"49,51",4,"49,3",,2,3,5,13,65,56,""
"org.axonframework.common.jpa","jpa",5,"37,37",5,"37,2",,2,3,4,0,16,6,""
"org.axonframework.common.legacyjpa","legacyjpa",5,"37,37",5,"37,2",,2,3,4,10,14,6,""
"org.axonframework.common.lock","lock",3,"40,40",3,"40,1",,2,3,2,0,46,25,""
"org.axonframework.common.property","property",3,"40,40",3,"40,1",,2,3,2,0,23,15,""
"org.axonframework.common.stream","stream",3,"40,40",3,"40,1",,2,3,3,9,29,5,""
"org.axonframework.common.transaction","transaction",3,"40,40",3,"40,1",,2,3,8,2,314,6,""
"org.axonframework.deadline","deadline",6,"31,65",6,"31,10",,2,3,8,0,238,338,""
"org.axonframework.deadline.annotation","annotation",2,"54,62",2,"62,8",,2,3,3,17,6,29,""
"org.axonframework.deadline.dbscheduler","dbscheduler",6,"65,65",6,"67,10",,2,3,8,8,7,488,""
"org.axonframework.deadline.jobrunr","jobrunr",6,"31,65",6,"31,10",,2,3,8,11,5,419,""
"org.axonframework.deadline.quartz","quartz",6,"31,65",6,"31,10",,2,3,8,4,5,453,""
"org.axonframework.eventhandling","eventhandling",3,"40,40",3,"40,1",,2,3,8,3,5417,1565,""
"org.axonframework.eventhandling.async","async",3,"40,40",3,"40,1",,2,3,4,1,41,76,""
"org.axonframework.eventhandling.deadletter","deadletter",3,"40,40",3,"40,1",,2,3,6,0,10,391,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",4,"49,51",4,"49,3",,2,3,6,19,34,581,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",5,"37,37",5,"37,2",,2,3,6,19,25,317,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",5,"37,37",5,"37,2",,2,3,6,15,9,330,""
"org.axonframework.eventhandling.gateway","gateway",3,"40,40",3,"40,1",,2,3,3,12,11,52,""
"org.axonframework.eventhandling.interceptors","interceptors",3,"40,40",3,"40,1",,2,3,3,4,0,28,""
