"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","incomingDependencies","outgoingDependencies","Source Cypher File: Community_Detection/Community_Detection_Summary.cypher"
"org.axonframework.eventsourcing","eventsourcing",0,"2,5",0,"4,21",,0,0,2,7,145,1009,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0,"2,5",0,"4,21",,0,0,2,14,15,99,""
"org.axonframework.eventsourcing.eventstore","eventstore",0,"2,5",0,"4,21",,0,0,3,16,169,615,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,"2,5",0,"4,21",,0,0,1,6,1,75,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0,"5,5",0,"5,21",,0,1,2,14,218,1340,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0,"5,5",0,"5,21",,0,1,2,18,30,80,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0,"2,5",0,"4,21",,0,0,3,11,9,236,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0,"2,5",0,"4,21",,0,0,3,14,23,389,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0,"2,5",0,"4,21",,0,0,3,6,23,17,""
"org.axonframework.config","config",1,"9,9",1,"9,22",,9,2,0,1,119,10226,""
"org.axonframework.commandhandling","commandhandling",2,"14,62",2,"14,2",,10,3,8,0,1641,691,""
"org.axonframework.commandhandling.callbacks","callbacks",2,"14,62",2,"14,2",,10,3,4,10,8,39,""
"org.axonframework.commandhandling.distributed","distributed",2,"14,62",2,"14,2",,10,3,7,13,50,738,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",2,"14,62",2,"14,2",,10,3,3,12,12,34,""
"org.axonframework.commandhandling.gateway","gateway",2,"14,62",2,"14,2",,10,3,6,1,97,443,""
"org.axonframework.common","common",3,"40,40",3,"40,1",,10,3,8,7,926,23,""
"org.axonframework.common.annotation","annotation",2,"54,62",2,"62,2",,10,3,5,14,22,3,""
"org.axonframework.common.caching","caching",3,"40,40",3,"40,1",,10,3,1,12,37,49,""
"org.axonframework.common.digest","digest",3,"40,40",3,"40,1",,10,3,3,15,2,1,""
"org.axonframework.common.io","io",3,"40,40",4,"40,1",,10,3,5,18,10,0,""
"org.axonframework.common.jdbc","jdbc",4,"49,51",3,"49,10",,10,3,5,0,65,56,""
"org.axonframework.common.jpa","jpa",5,"37,37",5,"37,8",,10,3,4,11,16,6,""
"org.axonframework.common.legacyjpa","legacyjpa",5,"37,37",5,"37,8",,10,3,4,16,14,6,""
"org.axonframework.common.lock","lock",3,"40,40",3,"40,1",,10,3,2,17,46,25,""
"org.axonframework.common.property","property",3,"40,40",3,"40,1",,10,3,2,6,23,15,""
"org.axonframework.common.stream","stream",3,"40,40",4,"40,1",,10,3,3,14,29,5,""
"org.axonframework.common.transaction","transaction",3,"40,40",4,"40,1",,10,3,8,12,314,6,""
"org.axonframework.deadline","deadline",6,"31,65",6,"31,4",,10,3,8,0,238,338,""
"org.axonframework.deadline.annotation","annotation",2,"54,62",2,"62,2",,10,3,3,13,6,29,""
"org.axonframework.deadline.dbscheduler","dbscheduler",6,"65,65",6,"67,4",,10,3,8,2,7,488,""
"org.axonframework.deadline.jobrunr","jobrunr",6,"31,65",6,"31,4",,10,3,8,5,5,419,""
"org.axonframework.deadline.quartz","quartz",6,"31,65",6,"31,4",,10,3,8,2,5,453,""
