"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: Overview/Number_of_types_per_artifact.cypher"
"axon-messaging-4.10.0",787,"Class",587,""
"axon-messaging-4.10.0",787,"Interface",155,""
"axon-messaging-4.10.0",787,"Enum",19,""
"axon-messaging-4.10.0",787,"Annotation",26,""
"axon-modelling-4.10.0",156,"Class",113,""
"axon-modelling-4.10.0",156,"Interface",28,""
"axon-modelling-4.10.0",156,"Annotation",12,""
"axon-modelling-4.10.0",156,"Enum",3,""
"axon-eventsourcing-4.10.0",133,"Class",98,""
"axon-eventsourcing-4.10.0",133,"Interface",32,""
"axon-eventsourcing-4.10.0",133,"Enum",2,""
"axon-eventsourcing-4.10.0",133,"Annotation",1,""
"axon-test-4.10.0",87,"Interface",16,""
"axon-test-4.10.0",87,"Class",71,""
"axon-configuration-4.10.0",41,"Class",23,""
"axon-configuration-4.10.0",41,"Annotation",1,""
"axon-configuration-4.10.0",41,"Interface",16,""
"axon-configuration-4.10.0",41,"Enum",1,""
"axon-disruptor-4.10.0",22,"Class",22,""
