"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Typescript_modules.cypher"
"react-router-6.28.2","snkrs",4,0,0,0,""
"react-router-6.28.2","images",2,0,0,0,""
"react-router-6.28.2","auth",1,0,0,0,""
"react-router-6.28.2","auth",1,0,0,0,""
"react-router-6.28.2","react-router",7,0,0,34,""
"react-router-6.28.2","react-router-dom",62,0,26,308,""
"react-router-6.28.2","server",6,0,0,76,""
"react-router-6.28.2","react-router-native",17,0,10,48,""
"react-router-6.28.2","images",2,0,0,0,""
"react-router-6.28.2","todos",7,0,0,0,""
"react-router-6.28.2","App",1,0,0,1,""
"react-router-6.28.2","data",3,0,0,0,""
