"packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Set_Outgoing_Package_Dependencies.cypher"
"org",0,0,0,0,0,0,""
"org.axonframework",0,0,0,0,0,0,""
"org.axonframework.commandhandling",144,537,70,0,9,1,""
"org.axonframework.commandhandling.callbacks",13,47,4,0,1,1,""
"org.axonframework.commandhandling.distributed",128,518,67,0,11,1,""
"org.axonframework.commandhandling.distributed.commandfilter",20,91,7,0,3,1,""
"org.axonframework.commandhandling.gateway",170,645,58,0,10,1,""
"org.axonframework.common",23,53,15,0,1,1,""
"org.axonframework.common.annotation",3,4,3,0,2,1,""
"org.axonframework.common.caching",27,131,11,0,2,1,""
"org.axonframework.common.digest",1,4,1,0,1,1,""
"org.axonframework.common.io",0,0,0,0,0,0,""
"org.axonframework.common.jdbc",26,120,18,0,4,1,""
"org.axonframework.common.jpa",6,18,5,0,3,1,""
"org.axonframework.common.legacyjpa",6,18,5,0,3,1,""
"org.axonframework.common.lock",24,92,12,0,2,1,""
"org.axonframework.common.property",15,28,8,0,2,1,""
"org.axonframework.common.stream",5,11,3,0,1,1,""
"org.axonframework.common.transaction",6,16,4,0,1,1,""
"org.axonframework.deadline",68,287,43,0,8,1,""
"org.axonframework.deadline.annotation",15,38,11,0,4,1,""
"org.axonframework.deadline.quartz",56,264,38,0,10,1,""
"org.axonframework.deadline.jobrunr",40,198,31,0,8,1,""
"org.axonframework.eventhandling",442,2423,151,0,16,1,""
"org.axonframework.eventhandling.async",44,165,20,0,5,1,""
"org.axonframework.eventhandling.deadletter",42,201,24,0,7,1,""
"org.axonframework.eventhandling.deadletter.jpa",66,472,39,0,8,1,""
"org.axonframework.eventhandling.deadletter.legacyjpa",56,430,36,0,9,1,""
"org.axonframework.eventhandling.gateway",21,82,12,0,4,1,""
"org.axonframework.eventhandling.interceptors",7,25,7,0,3,1,""
"org.axonframework.eventhandling.pooled",154,968,57,0,12,1,""
"org.axonframework.eventhandling.replay",36,81,22,0,5,1,""
"org.axonframework.eventhandling.scheduling",2,12,2,0,2,1,""
"org.axonframework.eventhandling.scheduling.java",24,86,19,0,8,1,""
"org.axonframework.eventhandling.scheduling.jobrunr",26,109,22,0,9,1,""
"org.axonframework.eventhandling.scheduling.quartz",44,164,27,0,10,1,""
"org.axonframework.eventhandling.tokenstore",19,86,13,0,4,1,""
"org.axonframework.eventhandling.tokenstore.inmemory",9,55,9,0,5,1,""
"org.axonframework.eventhandling.tokenstore.jdbc",39,394,28,0,6,1,""
"org.axonframework.eventhandling.tokenstore.jpa",29,196,21,0,6,1,""
"org.axonframework.eventhandling.tokenstore.legacyjpa",22,159,20,0,7,1,""
"org.axonframework.lifecycle",10,27,7,0,3,1,""
"org.axonframework.messaging",77,228,35,0,6,1,""
"org.axonframework.messaging.annotation",184,664,67,0,7,1,""
"org.axonframework.messaging.correlation",9,25,3,0,2,1,""
"org.axonframework.messaging.deadletter",60,241,23,0,5,1,""
"org.axonframework.messaging.interceptors",29,78,14,0,7,1,""
"org.axonframework.messaging.interceptors.legacyvalidation",7,17,7,0,4,1,""
"org.axonframework.messaging.responsetypes",30,83,17,0,6,1,""
"org.axonframework.messaging.unitofwork",59,365,20,0,5,1,""
"org.axonframework.monitoring",14,47,7,0,3,1,""
"org.axonframework.queryhandling",224,1204,78,0,11,1,""
"org.axonframework.queryhandling.annotation",28,106,22,0,6,1,""
"org.axonframework.queryhandling.registration",13,35,7,0,4,1,""
"org.axonframework.serialization",111,478,46,0,9,1,""
"org.axonframework.serialization.converters",7,9,2,0,1,1,""
"org.axonframework.serialization.json",33,106,24,0,4,1,""
"org.axonframework.serialization.upcasting",5,14,1,0,1,1,""
"org.axonframework.serialization.upcasting.event",53,175,26,0,6,1,""
"org.axonframework.serialization.xml",24,73,17,0,4,1,""
"org.axonframework.tracing",66,375,27,0,9,1,""
"org.axonframework.tracing.attributes",16,33,6,0,5,1,""
"org.axonframework.util",6,7,6,0,6,1,""
"org",0,0,0,0,0,0,""
"org.axonframework",0,0,0,0,0,0,""
"org.axonframework.modelling",0,0,0,0,0,0,""
"org.axonframework.modelling.command",219,910,91,0,15,2,""
"org.axonframework.modelling.command.inspection",157,723,73,0,10,2,""
"org.axonframework.modelling.command.legacyjpa",23,110,19,0,9,2,""
"org.axonframework.modelling.saga",124,520,58,0,9,2,""
"org.axonframework.modelling.saga.metamodel",20,62,13,0,4,2,""
"org.axonframework.modelling.saga.repository",67,380,35,0,8,2,""
"org.axonframework.modelling.saga.repository.inmemory",7,31,5,0,3,1,""
"org.axonframework.modelling.saga.repository.jdbc",39,219,24,0,8,2,""
"org.axonframework.modelling.saga.repository.jpa",29,133,18,0,7,2,""
"org.axonframework.modelling.saga.repository.legacyjpa",21,106,17,0,8,2,""
"org",0,0,0,0,0,0,""
"org.axonframework",0,0,0,0,0,0,""
"org.axonframework.disruptor",0,0,0,0,0,0,""
"org.axonframework.disruptor.commandhandling",185,869,85,0,14,4,""
"org",0,0,0,0,0,0,""
"org.axonframework",0,0,0,0,0,0,""
"org.axonframework.eventsourcing",211,872,91,0,16,3,""
"org.axonframework.eventsourcing.conflictresolution",32,102,18,0,9,3,""
"org.axonframework.eventsourcing.eventstore",161,784,64,0,16,3,""
"org.axonframework.eventsourcing.eventstore.inmemory",13,107,11,0,4,2,""
"org.axonframework.eventsourcing.eventstore.jdbc",83,571,51,0,11,3,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements",28,148,9,0,5,2,""
"org.axonframework.eventsourcing.eventstore.jpa",45,212,32,0,11,2,""
"org.axonframework.eventsourcing.eventstore.legacyjpa",84,447,47,0,15,2,""
"org.axonframework.eventsourcing.snapshotting",8,33,7,0,4,2,""
"org",0,0,0,0,0,0,""
"org.axonframework",0,0,0,0,0,0,""
"org.axonframework.config",431,2716,212,0,46,5,""
"org",0,0,0,0,0,0,""
"org.axonframework",0,0,0,0,0,0,""
"org.axonframework.test",8,16,7,0,4,2,""
"org.axonframework.test.aggregate",181,933,92,0,16,4,""
"org.axonframework.test.matchers",42,99,25,0,6,2,""
"org.axonframework.test.saga",149,645,79,0,17,3,""
"org.axonframework.test.server",0,0,0,0,0,0,""
"org.axonframework.test.utils",14,57,12,0,5,3,""
"org.axonframework.test.deadline",26,169,20,0,7,2,""
"org.axonframework.test.eventscheduler",16,76,10,0,5,2,""
