"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"javax.annotation",76,342,374,1729,114,1436,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",66,141,253,713,114,1436,"Logger,LoggerFactory",""
"javax.persistence",15,27,82,311,114,1436,"LockModeType,EntityManager,MappedSuperclass,Basic,Column,Lob,Id,Table,GeneratedValue",""
"com.fasterxml.jackson.annotation",13,23,57,87,114,1436,"JsonProperty,JsonCreator,JsonTypeInfo$Id,JsonTypeInfo,JsonGetter,JsonTypeInfo$As,JsonIgnore",""
"jakarta.persistence",10,25,73,299,114,1436,"EntityManager,LockModeType,Entity,Index,GeneratedValue,Table,Id,Basic,Lob",""
"io.axoniq.axonserver.grpc",7,30,55,273,114,1436,"ErrorMessage,InstructionAck$Builder,InstructionAck,ErrorMessage$Builder,SerializedObject,MetaDataValue,MetaDataValue$Builder,MetaDataValue$DataCase,SerializedObject$Builder",""
"io.axoniq.axonserver.connector",6,21,30,126,114,1436,"AxonServerConnection,AxonServerConnectionFactory,AxonServerConnectionFactory$Builder,ReplyChannel,ResultStream,FlowControl,Registration,ResultStreamPublisher",""
"org.hamcrest",5,27,59,370,114,1436,"CoreMatchers,StringDescription,Matcher,Description,TypeSafeMatcher,BaseMatcher,Matchers",""
"io.grpc",4,12,50,94,114,1436,"ManagedChannelBuilder,Channel,Status,StatusRuntimeException,Status$Code,Metadata$AsciiMarshaller,Metadata,Metadata$Key,ClientCall",""
"reactor.core.publisher",4,27,49,198,114,1436,"SignalType,BaseSubscriber,Flux,Mono,FluxSink,Signal,Sinks$MulticastReplaySpec,Sinks,ConnectableFlux",""
"com.github.kagkarlsson.scheduler",3,5,8,49,114,1436,"Scheduler,SchedulerState,ScheduledExecution",""
"com.github.kagkarlsson.scheduler.task",3,5,11,44,114,1436,"Task,TaskInstanceId,TaskWithDataDescriptor,ExecutionContext,TaskInstance",""
"io.grpc.stub",3,6,7,27,114,1436,"StreamObserver,ClientCallStreamObserver,ClientResponseObserver",""
"org.jobrunr.scheduling",3,5,7,34,114,1436,"JobScheduler,JobBuilder",""
"org.springframework.boot.actuate.health",3,4,7,24,114,1436,"Status,SimpleStatusAggregator,Health$Builder,AbstractHealthIndicator",""
"org.springframework.boot.autoconfigure",3,24,54,55,114,1436,"AutoConfigurationPackages,AutoConfigureBefore,AutoConfiguration,AutoConfigureAfter",""
"org.springframework.boot.autoconfigure.condition",3,32,66,150,114,1436,"ConditionOutcome,SpringBootCondition,ConditionalOnProperty,ConditionalOnClass,ConditionalOnMissingBean,ConditionalOnMissingClass,ConditionalOnBean,ConditionalOnExpression,AnyNestedCondition",""
"org.springframework.context.annotation",3,30,41,134,114,1436,"Conditional,ImportBeanDefinitionRegistrar,ConfigurationCondition$ConfigurationPhase,ConfigurationCondition,ConditionContext,Import,Bean,Primary,Configuration",""
"com.fasterxml.jackson.databind",2,9,17,75,114,1436,"ObjectMapper,JsonNode,ObjectReader,ObjectWriter,DeserializationFeature,ObjectMapper$DefaultTyping,DeserializationContext,JsonDeserializer",""
"com.thoughtworks.xstream.io",2,4,9,39,114,1436,"HierarchicalStreamReader,HierarchicalStreamWriter,HierarchicalStreamDriver",""
"io.axoniq.axonserver.connector.event",2,13,20,91,114,1436,"PersistentStreamSegment,PersistentStreamProperties,EventQueryResultEntry,EventStream,AppendEventsTransaction,EventChannel,AggregateEventStream,PersistentStream,PersistentStreamCallbacks",""
"io.axoniq.axonserver.connector.query",2,3,5,36,114,1436,"QueryHandler$UpdateHandler,QueryHandler,QueryDefinition,QueryChannel,SubscriptionQueryResult",""
"io.axoniq.axonserver.grpc.control",2,4,9,55,114,1436,"NodeInfo,NodeInfo$Builder,EventProcessorInfo$SegmentStatus,EventProcessorInfo,EventProcessorInfo$Builder,EventProcessorInfo$SegmentStatus$Builder",""
"io.axoniq.axonserver.grpc.event",2,6,12,69,114,1436,"EventWithToken,Event,Event$Builder,EventWithToken$Builder,Confirmation",""
"io.axoniq.axonserver.grpc.query",2,18,46,237,114,1436,"QueryResponse,QueryResponse$Builder,QueryRequest$Builder,QueryRequest,QueryProviderOutbound,QueryProviderInbound,SubscriptionQuery,QueryUpdate$Builder,QueryUpdate",""
"org.quartz",2,9,35,185,114,1436,"JobDataMap,JobKey,TriggerBuilder,SchedulerContext,Scheduler,Trigger,JobDetail,SchedulerException,JobBuilder",""
"org.springframework.beans.factory.annotation",2,10,11,28,114,1436,"Qualifier,Autowired",""
"org.springframework.beans.factory.config",2,3,4,7,114,1436,"ConfigurableListableBeanFactory,RuntimeBeanReference",""
"org.springframework.beans.factory.support",2,2,4,21,114,1436,"BeanDefinitionRegistry,BeanDefinitionRegistryPostProcessor,BeanDefinitionBuilder",""
"org.springframework.context",2,6,8,29,114,1436,"ApplicationContext,ApplicationContextAware",""
"reactor.core.scheduler",2,2,3,4,114,1436,"Schedulers,Scheduler",""
"com.fasterxml.jackson.core",1,3,4,7,114,1436,"JsonProcessingException,JacksonException,JsonParser",""
"com.fasterxml.jackson.databind.node",1,2,3,12,114,1436,"ObjectNode,JsonNodeType",""
"com.google.gson",1,1,4,7,114,1436,"JsonElement,JsonObject,JsonArray,JsonParser",""
"com.lmax.disruptor",1,7,9,25,114,1436,"RingBuffer,ExceptionHandler,WaitStrategy,BlockingWaitStrategy,EventHandler,LifecycleAware",""
"com.lmax.disruptor.dsl",1,4,5,21,114,1436,"Disruptor,EventHandlerGroup,ProducerType",""
"com.thoughtworks.xstream.converters",1,3,6,6,114,1436,"MarshallingContext,UnmarshallingContext",""
